,Delay (ms),Period (ms),fps
isp_v0,38.012126,40.0,25.0
isp_v1,20.553246,25.0,40.0
isp_v2,32.959326000000004,35.0,28.0
isp_v3,37.962226,40.0,25.0
isp_v4,19.347689000000003,20.0,50.0
isp_v5,32.874126,35.0,28.0
isp_v6,20.544806,25.0,40.0
isp_v7,19.128126,20.0,50.0
