,VER:0,VER:1,VER:2,VER:3,VER:4,VER:5,VER:6,VER:7
demosaic (mJ),11.841430305592416,11.846348912461583,11.834573188957167,11.764844703341334,11.832895076025334,11.817300198951916,11.809488293924417,11.815043426388417
denoise (mJ),79.05137988395454,78.8181740568409,78.80018903161364,78.82237056272727,78.79579269211362,78.80858204338635,78.69967272395456,78.76801581981819
isp (mJ),1254.5288456402475,105.66286421625519,1123.316403136282,1243.6367276026847,10.892118037562728,1136.8964533949388,106.74027420774584,0.0
lanedetect (mJ),65.88891089519943,66.66862640078018,51.776207777869054,67.07581936112132,52.175286385739625,47.51211555458661,64.75474572033622,47.267209643656784
compress (mJ),93.76667302486742,94.27891072219647,78.15062447594904,90.91335959146953,77.42773978213216,78.03535967137763,90.84225320908169,77.69848752347902
decompress (mJ),41.9718016820917,42.15026720508594,37.49689861636069,38.86612957486796,34.88535965631927,35.050804929967235,38.703914889403656,34.834012883521424
control (mJ),0.015690430299473684,0.015507983435526318,0.015483657187000002,0.015678267175210526,0.015678267175210526,0.01565394092668421,0.015629614678157894,0.015520146559789474
